rank,name,login,contributions,company,organizations
253,Tamal Das ,tamalCodes,657,Edilitics | Data to Decisions,"hackclub,github-craftwork,EddieHubCommunity,MakeContributions,cloudcommunity,Design-and-Code,WarriorWhoCodes,WebXDAO,Bauddhik-Geeks,Devs-Dungeon,hack4bengal,devs-in-tech,AccessibleForAll,IRL-Amigo,ngoworldcommunity"
254,TechiesCamp,techiescamp,656,Techiescamp by DevOpscube,
255,Hardik Savani,savanihd,655,,
256,Juned Chhipa,junedchhipa,654,,
257,Sandipan Rakshit,sandipanrakshit34,643,MCKV Institute of Engineering,"Creators-of-the-Tech,The-Code-Innovators,Workstation-Tech,DeepLearnCrew,DAVCrew,ExoSphyre"
258,Ayush Chaurasia,AyushExel,641,,
259,Pavan Gandhi,iampavangandhi,641,MyWays.ai,"fnplus,codezoned,Alexa-Code-Lab19,Antha-Prerna-Cell,qxresearch,MyWays-in"
260,Rohit Jain,rohitjainfsl,640,Full Stack Learning,
261,Santhosh Thottingal,santhoshtr,634,@wikimedia @smc ,"wikimedia,smc,libindic,dhvani-tts"
262,Abhijeet Gupta,boxabhi,633,MOB,
263,ARPIT SINGH,LSUDOKO,632,,
264,Kishan Sheth,koolkishan,632,,
265,Amit Merchant,amitmerchant1990,631,,
266,Arjun C Vinod,arjuncvinod,628,Mulearn Intern,"gtech-mulearn,incognito-acv,Top-100-Coders"
267,Yogesh Haribhau Kulkarni,yogeshhk,627,,ml-gde
